"name","level","description"
"Scouting","Basic","Allows your hero to see 1 square further into the shroud."
"Scouting","Advanced","Allows your hero to see 2 squares further into the shroud."
"Scouting","Expert","Allows your hero to see 3 squares further into the shroud."
"Sorcery","Basic","Causes a hero's spells to inflict an additional 5% damage in combat."
"Sorcery","Advanced","Causes a hero's spells to inflict an additional 10% damage in combat."
"Sorcery","Expert","Causes a hero's spells to inflict an additional 15% damage in combat."
"Tactics","Basic","Allows you to rearrange your troops just before combat, within 3 hex rows of the commanding hero."
"Tactics","Advanced","Allows you to rearrange your troops just before combat, within 5 hex rows of the commanding hero."
"Tactics","Expert","Allows you to rearrange your troops just before combat, within 7 hex rows of the commanding hero."
"Water Magic","Basic","Allows your hero to cast water spells at reduced cost."
"Water Magic","Advanced","Allows your hero to cast water spells at reduced cost and increased effectiveness."
"Water Magic","Expert","Allows your hero to cast water spells at reduced cost and maximum effectiveness."
"Wisdom","Basic","Allows your hero to learn third level spells."
"Wisdom","Advanced","Allows your hero to learn fourth level spells."
"Wisdom","Expert","Allows your hero to learn fifth level spells."
